field_name,display_name,description,data_type,required,allowed_values,unit,example,missing_value_rule,sensitivity,validation_rule,source,table,primary_key,ai_relevance
chain_of_custody_ref,Chain of custody ref,Custody document for this physical sample.,string,Yes,,,COC-2026-0141,Not permitted. A missing value fails validation and the record is not admitted.,internal,Required; null rejected on insert.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Not a model feature. Audit trail.
heritage_use_ref,Heritage use ref,Foreign key to the heritage record that directed this collection. Null means the sample was chosen on ecological criteria alone.,string,No,,,ZW-TK-2026-001,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Foreign key to heritage_knowledge.tk_id; must resolve.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,"The provenance link, and the flag separating knowledge-targeted from random sampling in any test of whether targeting works."
consent_reference,Consent reference,Consent document under which knowledge-led collection proceeded. Required whenever heritage_use_ref is present.,string,No,,,FPIC-ZW-2026-C001,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",confidential,Required when heritage_use_ref is present (consent gate).,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Not a model feature. Enforced by constraint.
nba_permit_ref,Nba permit ref,National Biotechnology Authority bioprospecting permit reference.,string,No,,,NBA-ZW-2026-014,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",internal,Required before sequencing_status or lc_ms_status may be 'complete'.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Not a model feature. Processing cannot be marked complete without it.
access_permit_ref,Access permit ref,Protected-area access clearance. Required on state protected land.,string,No,,,,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",internal,Free text; no constraint beyond type.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Not a model feature. Enforced by constraint.
sequencing_status,Sequencing status,Progress of Stream A processing for this sample.,category,Yes,pending | in_progress | complete | failed,,complete,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. Must be one of: pending | in_progress | complete | failed.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Pipeline state; filters incomplete records out of a training set.
lc_ms_status,Lc ms status,Progress of Stream B processing for this sample.,category,Yes,pending | in_progress | complete | failed | not_applicable,,complete,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. Must be one of: pending | in_progress | complete | failed | not_applicable.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Pipeline state.
data_sensitivity,Data sensitivity,Release classification for this record.,category,Yes,public | internal | confidential | sensitive | anonymized,,public,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. Must be one of: public | internal | confidential | sensitive | anonymized.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Determines the access tier the row appears in.
created_at,Created at,Ingest timestamp.,datetime,Yes,,,2026-09-14T15:20:00+02:00,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. ISO 8601.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Provenance.
record_status,Record status,Lifecycle state. Redacted records are excluded from every release.,category,Yes,active | superseded | redacted,,active,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. Must be one of: active | superseded | redacted.,Stream D — field collection event (ZW-SRC-001/002/003),environmental_samples,,Filter applied before any training set is assembled.
sequence_id,Sequence id,Stable unique identifier for one sequencing run product. Format ZW-SEQ-YYYY-NNN.,string,Yes,,,ZW-SEQ-2026-001,Not permitted. A missing value fails validation and the record is not admitted.,public,"Primary key. Unique, no nulls.",Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,Yes,Record key.
sample_id,Sample id,Foreign key to the physical sample.,string,Yes,,,ZW-SMP-2026-002,Not permitted. A missing value fails validation and the record is not admitted.,public,Foreign key to environmental_samples.sample_id; must resolve. Required; null rejected on insert.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,The join that makes genomics comparable with chemistry.
platform,Platform,Sequencing instrument class.,category,Yes,ont_minion | ont_gridion | illumina_miseq | illumina_nextseq,,ont_minion,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. Must be one of: ont_minion | ont_gridion | illumina_miseq | illumina_nextseq.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,Major batch effect. Nanopore and Illumina error profiles are not interchangeable.
library_prep_kit,Library prep kit,Library preparation chemistry.,string,No,,,SQK-RBK114-24,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,Batch-effect variable.
flowcell_id,Flowcell id,Physical flowcell identifier.,string,No,,,FAX12345,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,Enables per-flowcell artefact detection.
basecalling_model,Basecalling model,Exact basecaller and model version.,string,No,,,dna_r10.4.1_e8.2_400bps_sup,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,Reproducibility-critical. The same raw signal yields different reads under different models.
run_date,Run date,Date the sequencing run started.,date,Yes,,,2026-09-15,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. ISO 8601.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,Temporal covariate.
sequencing_lab,Sequencing lab,Facility or mobile unit that performed the run.,string,Yes,,,MOBILE-LEC-01,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,Batch-effect variable.
target_region,Target region,Amplicon target or shotgun designation.,category,Yes,16s_rrna | its | rbcl | matk | shotgun_metagenome | whole_genome,,16s_rrna,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. Must be one of: 16s_rrna | its | rbcl | matk | shotgun_metagenome | whole_genome.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,Determines which tokenization applies. Marker genes and metagenomes are not modelled the same way.
read_count,Read count,Reads passing filter.,integer,No,,reads,148230,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,Depth covariate; drives rarefaction decisions.
total_bases,Total bases,Total bases passing filter.,integer,No,,bases,214500000,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,Depth covariate.
mean_read_length_bp,Mean read length bp,Mean read length.,integer,No,,base pairs,1447,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,Quality covariate.
read_n50_bp,Read n50 bp,Read length N50.,integer,No,,base pairs,1610,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,Long-read quality metric.
mean_q_score,Mean q score,Mean Phred quality across reads.,float,No,0 to 60,Phred score,14.2,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Must fall between 0 and 60.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,Below Q10 the validator warns and downstream assignments are provisional.
assembly_method,Assembly method,Assembler and version where assembly was performed.,string,No,,,flye,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,Reproducibility.
assembly_n50_bp,Assembly n50 bp,Assembly contiguity.,integer,No,,base pairs,42150,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,Quality covariate.
contig_count,Contig count,Number of contigs produced.,integer,No,,contigs,318,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,Quality covariate.
taxonomic_assignment,Taxonomic assignment,Best taxonomic call for the sequence.,string,No,,,Streptomyces sp.,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,Classification label.
assignment_method,Assignment method,Classifier and reference database version.,string,No,,,kraken2/GTDB-r214,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,Reproducibility. A taxonomic call is meaningless without the database version behind it.
organism_novelty,Organism novelty,Novelty label against GenBank. See labels/label_taxonomy.csv LBL-01.,category,No,known | divergent | putative_novel | unassessed,,divergent,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Must be one of: known | divergent | putative_novel | unassessed.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,Prioritisation label for downstream work.
best_blast_accession,Best blast accession,Closest GenBank accession.,string,No,,,NR_112345.1,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,Novelty assessment input.
best_blast_pct_identity,Best blast pct identity,Percent identity to the closest known sequence.,float,No,0 to 100,percent,96.8,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Must fall between 0 and 100.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,The novelty signal. Low identity is why a sample is prioritised for chemistry.
predicted_function,Predicted function,"Model-predicted function, recorded with the model that produced it. LBL-02.",string,No,,,polyketide synthase (predicted),"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,"A prediction about function, never a claim about activity."
disease_target_relevance,Disease target relevance,Model-estimated relevance to a declared disease target. LBL-03.,float,No,0 to 1,score 0-1,0.72,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Must fall between 0 and 1.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,"A triage ranking for wet-lab prioritisation, not a prediction of efficacy."
annotation_confidence,Annotation confidence,Confidence in the annotation itself. LBL-04.,float,No,0 to 1,score 0-1,0.94,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Must fall between 0 and 1.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,Weight for label noise.
bgc_count,Bgc count,Secondary metabolite gene clusters detected by antiSMASH.,integer,No,,clusters,7,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,Direct link from genome to natural-product potential; the actinomycete hypothesis made measurable.
heritage_link,Heritage link,Denormalised tk_id of the heritage record that directed the parent sample. LBL-08.,string,No,,,ZW-TK-2026-001,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,Lets label joins skip a three-table hop; validated against the parent sample.
file_path_fasta,File path fasta,Relative path to the sequence file within the package.,string,Yes,,,raw/zw_src_001_eastern_highlands/ZW-SEQ-2026-001.fasta,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,Locates the underlying array data.
file_checksum_sha256,File checksum sha256,SHA-256 of the referenced file.,string,Yes,,,334132c6d14c8a770a94ae463254eaa8e223aa585567ba4d7430a16d2c46,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. Exactly 64 lowercase hex characters.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,Integrity. A model trained on a corrupted file is unreproducible and unfalsifiable.
file_size_bytes,File size bytes,Size of the referenced file.,integer,No,,bytes,1842005112,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,Integrity.
data_sensitivity,Data sensitivity,Release classification for this record.,category,Yes,public | internal | confidential | sensitive | anonymized,,public,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. Must be one of: public | internal | confidential | sensitive | anonymized.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,Access-tier control.
qc_status,Qc status,Outcome of the validation battery for this record.,category,Yes,pending | pass | warning | fail,,pass,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. Must be one of: pending | pass | warning | fail.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,Filter applied before training-set assembly.
created_at,Created at,Ingest timestamp.,datetime,Yes,,,2026-09-16T06:00:00+02:00,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. ISO 8601.,Stream A — MinION field sequencing and Illumina at SIRDC,genomic_sequences,,Provenance.
metabolite_id,Metabolite id,Stable unique identifier for one detected LC-MS feature. Format ZW-MET-YYYY-NNN.,string,Yes,,,ZW-MET-2026-001,Not permitted. A missing value fails validation and the record is not admitted.,public,"Primary key. Unique, no nulls.",Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,Yes,Record key.
sample_id,Sample id,Foreign key to the physical sample.,string,Yes,,,ZW-SMP-2026-001,Not permitted. A missing value fails validation and the record is not admitted.,public,Foreign key to environmental_samples.sample_id; must resolve. Required; null rejected on insert.,Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,,The join to genomics and to heritage knowledge.
extract_id,Extract id,Identifier of the extract in which the feature was detected.,string,Yes,,,EXT-0141,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert.,Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,,Groups features from one extraction.
extraction_solvent,Extraction solvent,Solvent system used.,string,Yes,,,MeOH:H2O 80:20,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert.,Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,,Bounds which chemical space was observable. A polar solvent cannot report a non-polar absence.
extraction_date,Extraction date,Date of extraction.,date,Yes,,,2026-09-15,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. ISO 8601.,Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,,Batch-effect variable.
instrument,Instrument,Mass spectrometer make and model.,string,Yes,,,Agilent 6545 Q-TOF,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert.,Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,,Batch-effect variable; single-instrument bias is on the bias register.
chromatography_column,Chromatography column,Column chemistry and dimensions.,string,No,,,C18 2.1x100mm 1.8um,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,,Retention time is only interpretable alongside this.
ionization_mode,Ionization mode,Positive or negative ionisation.,category,Yes,positive | negative,,positive,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert. Must be one of: positive | negative.,Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,,Features from the two modes are not directly comparable.
collision_energy_ev,Collision energy ev,Collision energy applied.,float,No,,electronvolts,20.0,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,,Required to compare fragmentation spectra across runs.
retention_time_min,Retention time min,Chromatographic retention time.,float,No,,minutes,7.42,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,,Feature-alignment key across samples.
mz_measured,Mz measured,Measured mass-to-charge ratio.,float,Yes,,m/z (Da/charge),235.1693,Not permitted. A missing value fails validation and the record is not admitted.,public,Required; null rejected on insert.,Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,,Primary feature descriptor.
mz_error_ppm,Mz error ppm,Mass error against the proposed formula.,float,No,,ppm,1.8,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,,Annotation-confidence input.
peak_area,Peak area,"Integrated peak area, uncorrected.",float,No,,arbitrary units,4820115,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Free text; no constraint beyond type.,Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,,Raw abundance measure.
relative_abundance,Relative abundance,Peak area normalised within the sample.,float,No,0 to 1,fraction of sample total,0.142,"Empty string in CSV, null in JSON. Indicates not applicable or not yet determined; never a zero.",public,Must fall between 0 and 1.,Stream B — LC-MS at SIRDC (ZW-SRC-006),metabolomic_profiles,,Abundance comparable across samples.
